timestamp,smoke,voc,co,flame,temp,hum
351180,235,747,736,982,33.62,30.13
351280,234,747,735,980,33.60,30.23
351380,235,747,734,980,33.60,30.34
351480,234,746,734,982,33.59,30.38
351580,234,746,734,981,33.59,30.44
351680,235,747,734,980,33.58,30.39
351780,234,746,733,981,33.58,30.41
351880,234,746,733,981,33.55,30.41
351980,234,746,733,981,33.54,30.42
352080,234,746,733,981,33.51,30.37
352180,234,746,732,983,33.51,30.39
352280,234,746,732,983,33.49,30.34
352380,233,746,732,982,33.47,30.36
352480,234,746,733,980,33.46,30.36
352580,234,745,733,982,33.43,30.35
352680,234,745,733,981,33.40,30.39
352780,234,746,733,981,33.40,30.39
352880,233,745,734,982,33.36,30.41
352980,234,745,734,982,33.35,30.43
353080,234,744,733,981,33.34,30.42
353180,233,745,735,982,33.33,30.44
353280,234,744,734,980,33.30,30.45
353380,234,745,734,980,33.28,30.49
353480,234,745,734,982,33.27,30.49
353580,233,745,734,980,33.26,30.52
353680,232,744,734,981,33.22,30.52
353780,233,744,734,980,33.21,30.52
353880,233,744,734,982,33.17,30.51
353980,232,744,734,982,33.13,30.53
354080,233,744,735,981,33.13,30.57
354180,233,745,733,981,33.10,30.55
354280,232,744,734,982,33.09,30.57
354380,233,744,734,983,33.08,30.59
354480,233,744,734,984,33.05,30.63
354580,233,744,734,985,33.03,30.70
354680,233,744,735,982,33.01,30.70
354780,232,743,735,982,32.99,30.69
354880,233,744,735,983,32.97,30.73
354980,232,745,735,982,32.95,30.79
355080,232,744,735,983,32.94,30.81
355180,233,744,737,977,32.92,30.82
355280,232,744,736,982,32.90,30.90
355380,232,745,736,981,32.89,30.90
355480,231,744,736,980,32.87,30.92
355580,231,743,736,981,32.85,31.00
355680,232,743,736,982,32.84,31.04
355780,232,743,736,979,32.82,31.04
355880,232,744,737,981,32.80,31.12
355980,233,744,737,981,32.78,31.11
356080,232,744,737,981,32.76,31.13
356180,232,744,736,983,32.75,31.16
356280,232,744,738,982,32.73,31.19
356380,232,743,737,983,32.71,31.24
356480,232,744,738,981,32.71,31.25
356580,230,743,737,980,32.69,31.32
356680,231,745,738,980,32.67,31.24
356780,231,743,737,981,32.66,31.30
356880,231,744,737,981,32.67,31.31
356980,231,745,737,981,32.65,31.28
357080,231,744,737,983,32.65,31.29
357180,232,745,739,982,32.61,31.33
357280,231,744,738,982,32.62,31.34
357380,231,744,737,981,32.61,31.35
357480,231,744,737,981,32.60,31.36
357580,231,744,737,980,32.59,31.40
357680,231,745,737,981,32.59,31.39
357780,232,745,737,977,32.57,31.38
357880,231,745,738,980,32.54,31.44
357980,231,745,737,980,32.53,31.45
358080,231,745,737,981,32.52,31.52
358180,231,745,735,980,32.49,31.52
358280,231,745,735,984,32.47,31.56
358380,231,745,736,980,32.46,31.54
358480,231,745,735,980,32.44,31.61
358580,231,745,736,980,32.42,31.67
358680,231,745,736,981,32.39,31.61
358780,231,744,736,983,32.37,31.70
358880,231,745,735,981,32.33,31.69
358980,231,744,736,980,32.33,31.72
359080,231,744,736,979,32.31,31.78
359180,231,745,736,980,32.28,31.76
359280,230,745,735,980,32.27,31.82
359380,230,745,735,979,32.25,31.83
359480,230,745,735,982,32.23,31.83
359580,231,744,734,981,32.21,31.87
359680,231,745,735,981,32.20,31.92
359780,230,744,735,982,32.19,31.91
359880,230,744,734,981,32.16,31.94
359980,231,744,733,982,32.14,31.98
360080,231,744,734,980,32.12,32.00
360180,230,745,732,982,32.11,31.99
360280,230,744,731,981,32.09,32.04
360380,230,744,732,979,32.08,32.04
360480,230,744,732,982,32.06,32.10
360580,231,743,732,980,32.04,32.15
360680,231,743,731,982,32.02,32.15
360780,230,744,732,980,32.01,32.14
360880,231,743,731,981,31.98,32.15
