timestamp,smoke,voc,co,flame,temp,hum
207280,359,860,829,984,34.30,31.09
207380,360,861,832,984,34.33,31.06
207480,360,861,835,985,34.31,31.06
207580,362,861,838,984,34.31,30.98
207680,367,861,842,982,34.30,31.03
207780,372,862,845,983,34.30,31.29
207880,377,861,847,983,34.33,31.49
207980,381,863,852,984,34.36,31.68
208080,384,862,854,984,34.40,31.70
208180,386,863,855,983,34.42,31.65
208280,387,864,856,984,34.43,31.55
208380,388,864,859,984,34.43,31.44
208480,388,863,861,983,34.42,31.33
208580,388,864,862,981,34.42,31.24
208680,388,864,859,982,34.41,31.18
208780,387,864,859,983,34.41,31.26
208880,386,863,858,983,34.41,31.28
208980,386,863,860,982,34.41,31.44
209080,384,862,861,984,34.44,31.61
209180,383,863,863,984,34.45,31.67
209280,382,862,866,985,34.46,31.63
209380,380,862,866,985,34.47,31.69
209480,379,861,867,984,34.48,31.85
209580,379,860,868,985,34.51,31.92
209680,380,862,865,983,34.52,32.01
209780,382,862,864,983,34.54,32.02
209880,383,861,864,982,34.57,32.04
209980,385,864,859,983,34.56,31.89
210080,386,866,856,983,34.58,31.75
210180,387,867,853,982,34.57,31.58
210280,387,868,853,982,34.56,31.47
210380,387,870,855,983,34.54,31.30
210480,388,871,856,983,34.50,31.14
210580,390,874,856,984,34.50,31.12
210680,391,875,856,984,34.46,31.06
210780,391,876,857,984,34.45,31.08
210880,392,875,853,984,34.44,31.17
210980,391,875,852,984,34.44,31.21
211080,391,875,849,983,34.43,31.13
211180,390,875,850,983,34.44,31.34
211280,390,875,848,983,34.45,31.45
211380,390,876,847,983,34.47,31.58
211480,392,875,844,982,34.47,31.54
211580,394,875,845,983,34.47,31.56
211680,396,876,845,983,34.47,31.56
211780,399,876,843,982,34.47,31.56
211880,403,877,844,982,34.47,31.49
211980,407,878,844,982,34.46,31.37
212080,410,880,843,983,34.45,31.28
212180,413,881,842,983,34.43,31.17
212280,416,883,843,984,34.41,31.07
212380,418,883,841,983,34.39,30.97
212480,418,885,842,985,34.37,30.86
212580,420,886,842,985,34.31,30.83
212680,422,887,844,984,34.30,30.94
212780,423,888,846,984,34.30,30.97
212880,425,890,846,985,34.29,31.10
212980,427,890,844,985,34.27,31.19
213080,429,892,848,983,34.27,31.28
213180,430,894,851,985,34.25,31.32
213280,431,894,852,985,34.24,31.42
213380,432,895,850,984,34.25,31.42
213480,433,896,849,985,34.24,31.36
213580,433,898,848,984,34.22,31.33
213680,432,897,846,983,34.20,31.29
213780,432,900,846,983,34.17,31.23
213880,431,899,847,983,34.14,31.14
213980,432,900,847,983,34.11,31.08
214080,432,900,846,983,34.08,31.07
214180,433,902,842,982,34.06,31.01
214280,433,901,842,982,34.02,30.91
214380,432,902,838,983,33.99,30.90
214480,433,902,839,983,33.95,30.87
214580,435,902,839,984,33.93,30.89
214680,437,903,836,982,33.90,30.85
214780,438,902,836,982,33.87,30.87
214880,439,903,839,981,33.84,30.86
214980,440,905,838,983,33.80,30.92
215080,441,905,838,984,33.78,30.90
215180,442,907,839,984,33.75,30.91
215280,444,906,839,985,33.73,30.99
215380,444,907,841,983,33.70,31.03
215480,444,907,843,982,33.67,31.11
215580,444,908,840,983,33.65,31.25
215680,443,908,845,982,33.64,31.43
215780,442,907,846,984,33.63,31.55
215880,440,907,845,985,33.62,31.59
215980,438,906,849,983,33.60,31.61
216080,436,906,852,984,33.57,31.57
216180,436,905,856,984,33.53,31.62
216280,435,907,858,986,33.53,31.73
216380,436,906,862,985,33.50,31.88
216480,438,906,859,985,33.50,32.00
216580,439,908,866,984,33.50,32.00
216680,440,906,878,983,33.49,32.02
216780,440,906,882,984,33.47,31.95
216880,440,907,888,985,33.45,31.87
216980,439,907,893,984,33.42,31.86
217080,437,906,892,984,33.40,31.81
