timestamp,smoke,voc,co,flame,temp,hum
1049780,393,753,68,143,41.72,98.08
1049880,392,753,68,144,41.65,98.30
1049980,392,754,66,145,41.58,98.50
1050080,391,755,54,146,41.52,98.70
1050180,391,755,67,146,41.45,99.10
1050280,392,755,66,147,41.41,99.63
1050380,392,755,65,148,41.37,99.97
1050480,391,756,64,149,41.34,100.00
1050580,392,756,64,149,41.32,100.00
1050680,391,756,64,150,41.31,100.00
1050780,392,757,62,151,41.32,100.00
1050880,391,757,63,151,41.34,100.00
1050980,391,757,62,153,41.38,100.00
1051080,391,757,62,153,41.43,100.00
1051180,390,757,61,154,41.46,100.00
1051280,389,757,61,154,41.55,100.00
1051380,390,757,61,154,41.60,100.00
1051480,389,757,61,155,41.64,100.00
1051580,389,757,60,154,41.67,100.00
1051680,389,757,61,154,41.68,100.00
1051780,388,758,60,155,41.71,100.00
1051880,388,758,59,155,41.73,100.00
1051980,388,758,60,155,41.76,100.00
1052080,387,758,59,154,41.80,100.00
1052180,387,758,59,153,41.86,100.00
1052280,387,758,59,153,41.89,100.00
1052380,387,757,61,153,41.93,100.00
1052480,387,758,63,152,41.97,100.00
1052580,387,758,61,152,41.99,100.00
1052680,386,758,61,152,42.02,100.00
1052780,386,758,61,153,42.01,100.00
1052880,386,758,60,153,42.04,100.00
1052980,385,758,60,153,42.04,100.00
1053080,385,757,60,154,42.04,100.00
1053180,384,758,61,154,42.01,100.00
1053280,385,758,60,155,42.00,100.00
1053380,384,758,60,155,41.97,100.00
1053480,384,758,60,155,41.96,100.00
1053580,384,758,60,156,41.93,100.00
1053680,384,758,59,157,41.88,100.00
1053780,383,757,60,157,41.85,100.00
1053880,383,757,60,158,41.81,100.00
1053980,383,757,62,158,41.76,100.00
1054080,382,757,61,159,41.70,100.00
1054180,382,756,61,159,41.66,100.00
1054280,381,755,61,160,41.59,100.00
1054380,381,754,60,160,41.53,100.00
1054480,380,754,61,160,41.47,100.00
1054580,381,754,61,160,41.41,100.00
1054680,380,754,61,161,41.34,100.00
1054780,380,754,50,161,41.27,100.00
1054880,380,754,63,160,41.22,100.00
1054980,380,754,62,161,41.18,100.00
1055080,381,754,62,161,41.13,100.00
1055180,381,755,62,161,41.08,100.00
1055280,381,755,62,161,41.06,100.00
1055380,381,755,62,161,41.04,100.00
1055480,381,756,61,161,41.04,100.00
1055580,380,755,61,161,41.01,100.00
1055680,379,755,62,161,41.01,100.00
1055780,379,755,62,160,40.98,100.00
1055880,378,754,60,160,40.96,100.00
1055980,378,754,58,160,40.93,100.00
1056080,377,754,55,160,40.88,100.00
1056180,377,754,58,160,40.88,100.00
1056280,377,754,59,160,40.84,100.00
1056380,376,754,59,160,40.83,100.00
1056480,376,753,59,160,40.81,100.00
1056580,376,753,59,161,40.80,100.00
1056680,376,752,60,161,40.77,100.00
1056780,376,752,59,163,40.73,100.00
1056880,376,752,59,162,40.68,100.00
1056980,375,752,59,163,40.64,100.00
1057080,376,752,58,163,40.57,99.69
1057180,376,752,59,164,40.51,99.39
1057280,377,753,58,165,40.44,99.23
1057380,377,752,57,166,40.39,99.10
1057480,376,752,59,166,40.32,99.06
1057580,376,752,50,166,40.29,99.11
1057680,375,751,53,167,40.24,99.09
1057780,375,751,50,168,40.19,99.06
1057880,375,751,50,168,40.14,99.17
1057980,375,752,50,168,40.10,99.40
1058080,374,752,50,169,40.07,99.54
1058180,374,751,49,169,40.04,99.61
1058280,374,750,60,169,39.99,99.48
1058380,372,749,50,168,39.95,99.34
1058480,373,748,60,168,39.90,99.07
1058580,373,748,49,168,39.84,98.40
1058680,373,749,49,168,39.77,97.62
1058780,373,749,49,168,39.72,97.45
1058880,373,750,49,167,39.66,97.71
1058980,373,750,48,167,39.64,98.07
1059080,373,751,49,167,39.62,98.40
1059180,373,750,48,167,39.60,98.82
1059280,374,750,49,167,39.59,99.42
1059380,373,750,49,166,39.58,100.00
1059480,373,750,48,166,39.59,100.00
1059580,373,749,49,165,39.59,100.00
