time_ms,voc
392156,260
393167,261
394178,260
395189,260
396200,261
397211,260
398222,260
399233,261
400244,260
401255,260
402266,261
403277,260
404288,260
405299,260
406310,261
407321,260
408332,260
409343,261
410354,260
411365,260
412376,261
413387,260
414398,259
415409,260
416420,260
417431,259
418442,260
419453,260
420464,259
421475,260
422486,260
423497,259
424508,259
425519,260
426530,260
427541,259
428552,260
429563,260
430574,259
431585,260
432596,260
433607,259
434618,259
435629,260
436640,259
437651,259
438662,260
439673,260
440684,259
441695,259
442706,260
443717,259
444728,259
445739,260
446750,259
447761,259
448772,260
449783,259
450794,259
451805,259
452816,260
453827,259
454838,259
455849,260
456860,259
457871,259
458882,260
459893,259
460904,259
461915,260
462926,260
463937,259
464948,259
465959,260
466970,259
467981,259
468992,260
470003,259
471014,259
472025,260
473036,259
474047,259
475058,260
476069,259
477080,259
478091,259
479102,260
480113,259
481124,259
482135,260
483146,259
484157,259
485168,260
486179,259
487190,259
488201,260
489212,259
490223,259
491234,260
492245,260
493256,259
494267,259
495278,260
496289,259
497300,259
498311,260
499322,259
500333,259
501344,260
502355,259
503366,259
504377,260
505388,259
506399,258
507410,259
508421,260
509432,259
510443,259
511454,260
512465,258
513476,258
514487,259
515498,259
516509,258
