time_ms,voc
42408,257
43418,256
44428,257
45438,257
46448,256
47458,257
48468,256
49478,257
50488,257
51498,256
52508,257
53518,256
54528,257
55538,257
56548,256
57558,257
58568,256
59578,256
60588,257
61598,256
62608,257
63618,256
64628,256
65638,257
66648,256
67658,256
68668,257
69678,256
70688,257
71698,256
72708,256
73718,257
74728,256
75738,256
76748,257
77758,256
78768,257
79778,258
80788,257
81798,257
82808,257
83818,257
84828,257
85838,256
86848,256
87858,256
88868,256
89878,257
90888,256
91898,256
92908,257
93918,256
94928,256
95938,256
96948,256
97958,257
98968,256
99978,256
100988,257
101999,256
103010,256
104021,257
105032,256
106043,256
107054,257
108065,256
109076,256
110087,256
111098,256
112109,256
113120,257
114131,256
115142,255
116153,257
117164,256
118175,256
119186,256
120197,256
121208,256
122219,257
123230,256
124241,256
125252,257
126263,257
127274,256
128285,257
129296,257
130307,256
131318,257
132329,257
133340,256
134351,257
135362,257
136373,256
137384,256
138395,256
139406,256
140417,256
141428,257
142439,256
143450,256
144461,257
145472,256
146483,256
147494,257
148505,256
149516,256
150527,257
151538,256
152549,256
153560,257
154571,256
155582,256
156593,257
157604,256
158615,256
159626,257
160637,256
161648,256
162659,257
163670,257
164681,256
165692,257
166703,257
167714,256
168725,256
169736,257
170747,256
171758,256
172769,257
173780,256
174791,256
175802,257
176813,256
177824,256
178835,257
179846,256
180857,256
181868,257
182879,257
183890,256
184901,256
185912,257
186923,256
187934,256
188945,257
189956,256
190967,256
191978,257
192989,256
194000,256
195011,257
196022,256
197033,256
198044,257
199055,257
200066,256
201077,257
202088,257
203099,256
204110,256
205121,257
206132,256
207143,257
208154,257
209165,256
210176,256
211187,257
212198,256
213209,256
214220,257
215231,257
216242,256
217253,257
218264,257
219275,256
220286,257
221297,257
222308,256
223319,256
224330,257
225341,256
226352,256
227363,257
228374,257
229385,256
230396,257
231407,257
232418,256
233429,257
234440,257
235451,256
236462,257
237473,257
238484,256
239495,256
240506,257
241517,256
242528,256
243539,257
244550,257
245561,256
246572,257
247583,257
248594,256
249605,256
250616,257
251627,256
252638,256
253649,257
254660,257
255671,256
256682,257
257693,257
258704,256
259715,257
260726,257
261737,256
262748,257
263759,257
264770,256
265781,257
266792,258
267803,256
268814,256
269825,257
270836,256
271847,257
272858,258
273869,256
274880,256
275891,258
276902,257
277913,257
278924,257
279935,256
280946,256
281957,257
282968,257
283979,256
284990,257
286001,257
287012,256
288023,258
289034,257
290045,256
291056,257
292067,257
293078,256
294089,257
295100,257
296111,256
297122,257
298133,257
299144,256
300155,257
