timestamp,smoke,voc,co,flame,temp,hum
1843680,252,719,149,2,38.32,29.73
1843780,253,718,151,1,38.35,29.27
1843880,253,718,154,2,38.39,28.78
1843980,252,718,159,2,38.40,28.35
1844080,252,718,163,2,38.40,27.98
1844180,253,718,166,1,38.41,27.56
1844280,252,718,168,3,38.41,27.37
1844380,253,718,170,3,38.41,27.52
1844480,252,719,170,3,38.43,27.62
1844580,253,719,168,4,38.43,28.03
1844680,253,719,167,2,38.47,28.47
1844780,252,719,166,5,38.51,29.03
1844880,253,719,163,4,38.53,29.30
1844980,253,718,161,5,38.57,29.38
1845080,255,719,159,5,38.59,29.25
1845180,256,719,158,6,38.65,29.27
1845280,257,719,158,3,38.71,29.41
1845380,257,720,157,7,38.76,29.25
1845480,257,719,158,7,38.82,28.85
1845580,257,720,159,7,38.83,28.41
1845680,257,720,160,7,38.85,27.94
1845780,258,720,159,7,38.84,27.54
1845880,259,720,160,8,38.84,27.16
1845980,260,719,160,8,38.83,26.78
1846080,261,719,160,8,38.80,26.52
1846180,261,719,160,8,38.80,26.26
1846280,261,719,160,8,38.79,26.02
1846380,262,720,160,8,38.77,25.81
1846480,263,720,159,8,38.74,25.64
1846580,263,720,158,8,38.71,25.92
1846680,262,720,158,8,38.69,26.15
1846780,262,720,158,5,38.66,26.11
1846880,262,720,157,8,38.64,26.04
1846980,262,720,156,8,38.61,25.93
1847080,261,720,156,6,38.57,25.92
1847180,262,720,156,7,38.56,25.96
1847280,263,720,159,9,38.56,25.91
1847380,264,720,165,6,38.55,25.83
1847480,264,720,168,7,38.56,25.74
1847580,264,720,170,5,38.55,25.64
1847680,264,720,170,5,38.52,25.61
1847780,264,720,169,4,38.51,25.52
1847880,264,720,168,3,38.48,25.48
1847980,264,720,164,3,38.46,25.44
1848080,264,719,162,3,38.45,25.34
1848180,263,720,159,2,38.43,25.30
1848280,263,720,157,2,38.40,25.29
1848380,263,719,155,4,38.37,25.70
1848480,263,719,155,2,38.36,26.18
1848580,263,719,153,2,38.36,26.43
1848680,263,718,151,2,38.35,26.47
1848780,263,719,150,2,38.32,26.43
1848880,264,718,149,2,38.32,27.83
1848980,263,718,149,2,38.31,28.88
1849080,263,718,147,3,38.30,29.01
1849180,263,718,147,3,38.28,29.56
1849280,263,717,145,2,38.28,30.00
1849380,263,718,144,3,38.27,30.65
1849480,263,717,145,3,38.28,30.66
1849580,263,717,144,3,38.27,31.49
1849680,263,716,143,1,38.30,32.76
1849780,263,717,142,3,38.31,32.84
1849880,263,716,141,4,38.33,32.35
1849980,264,716,140,4,38.34,33.14
1850080,266,716,139,8,38.38,34.20
1850180,267,716,140,4,38.41,34.29
1850280,269,717,141,5,38.44,34.15
1850380,270,716,143,5,38.47,33.85
1850480,272,717,147,4,38.50,33.30
1850580,275,717,149,5,38.50,33.33
1850680,279,717,151,1,38.52,34.90
1850780,282,718,153,4,38.57,37.33
1850880,284,719,155,4,38.65,38.24
1850980,284,720,159,5,38.71,37.71
1851080,284,720,163,7,38.77,36.87
1851180,284,720,164,4,38.82,35.82
1851280,283,721,164,4,38.83,34.63
1851380,284,722,163,4,38.85,33.42
1851480,283,722,161,4,38.85,32.33
1851580,283,723,161,3,38.84,31.34
1851680,283,722,160,3,38.82,30.59
1851780,283,723,159,3,38.82,30.05
1851880,283,724,156,3,38.84,29.69
1851980,283,723,154,3,38.82,29.62
1852080,282,724,152,2,38.84,29.31
1852180,282,724,151,2,38.83,28.89
1852280,282,724,150,2,38.81,28.50
1852380,282,725,149,1,38.81,28.09
1852480,282,725,148,1,38.79,27.69
1852580,281,726,148,2,38.77,27.30
1852680,281,726,148,2,38.75,26.98
1852780,281,726,148,2,38.71,26.70
1852880,281,726,147,3,38.68,26.45
1852980,281,726,146,4,38.67,26.24
1853080,281,726,144,3,38.63,26.20
1853180,280,726,143,4,38.63,26.41
1853280,280,727,141,5,38.60,26.46
1853380,280,726,139,4,38.60,26.46
1853480,279,726,138,5,38.61,26.51
