timestamp,smoke,voc,co,flame,temp,hum
1867680,293,719,151,4,38.10,26.57
1867780,294,718,150,5,38.09,26.80
1867880,295,718,150,5,38.10,27.03
1867980,296,718,151,4,38.13,27.01
1868080,297,718,151,5,38.14,26.90
1868180,297,718,151,4,38.18,26.71
1868280,298,717,151,5,38.17,26.54
1868380,299,718,152,5,38.18,26.38
1868480,298,718,153,5,38.17,26.25
1868580,298,717,153,4,38.16,26.13
1868680,297,717,153,4,38.14,26.00
1868780,297,717,152,4,38.13,25.90
1868880,297,718,151,5,38.11,26.22
1868980,297,717,149,4,38.09,26.80
1869080,297,717,148,4,38.08,27.00
1869180,297,717,146,4,38.09,27.42
1869280,298,718,146,3,38.11,28.00
1869380,298,718,145,3,38.14,28.57
1869480,298,718,145,2,38.17,28.95
1869580,298,718,145,2,38.19,28.83
1869680,297,717,145,2,38.22,28.59
1869780,297,718,144,2,38.24,28.26
1869880,297,718,143,2,38.23,28.02
1869980,297,717,143,2,38.25,27.80
1870080,296,718,142,2,38.23,27.53
1870180,296,718,141,2,38.23,27.27
1870280,296,717,139,2,38.23,26.99
1870380,296,718,139,2,38.23,26.75
1870480,296,718,140,3,38.22,26.56
1870580,297,718,141,3,38.18,26.34
1870680,298,718,142,4,38.16,26.22
1870780,298,717,143,4,38.15,26.18
1870880,298,717,143,4,38.13,26.14
1870980,297,717,142,7,38.11,26.10
1871080,297,717,142,5,38.09,26.05
1871180,297,717,141,5,38.09,26.26
1871280,297,717,140,6,38.07,26.55
1871380,297,716,139,5,38.08,27.28
1871480,298,716,137,7,38.07,28.01
1871580,298,716,137,9,38.09,28.74
1871680,299,717,137,4,38.11,29.20
1871780,299,717,136,7,38.12,29.37
1871880,299,717,136,7,38.13,29.40
1871980,299,717,136,8,38.15,29.36
1872080,299,717,136,8,38.15,29.53
1872180,299,717,137,8,38.17,29.38
1872280,299,717,137,8,38.17,29.01
1872380,298,717,136,7,38.19,28.62
1872480,298,716,136,8,38.21,28.41
1872580,297,717,136,9,38.24,28.29
1872680,297,716,135,9,38.26,28.23
1872780,296,716,135,8,38.28,28.30
1872880,297,716,136,8,38.30,28.13
1872980,296,716,136,9,38.32,27.84
1873080,296,716,136,8,38.34,27.50
1873180,296,716,136,8,38.33,27.17
1873280,296,716,135,8,38.34,26.98
1873380,296,715,136,8,38.34,26.83
1873480,295,716,135,7,38.35,26.63
1873580,295,715,134,7,38.34,26.47
1873680,295,715,135,7,38.35,26.31
1873780,295,715,135,7,38.38,26.27
1873880,295,715,135,6,38.43,26.40
1873980,295,715,135,5,38.51,26.51
1874080,295,715,134,0,38.58,26.63
1874180,295,715,134,4,38.69,27.28
1874280,294,715,135,4,38.78,28.90
1874380,294,715,135,3,38.87,31.09
1874480,295,715,136,3,38.97,32.64
1874580,294,715,137,3,39.04,33.19
1874680,294,715,138,1,39.11,32.89
1874780,294,715,137,3,39.19,32.44
1874880,293,715,139,2,39.25,32.20
1874980,294,715,139,4,39.30,31.57
1875080,294,715,140,3,39.37,30.73
1875180,294,716,140,4,39.41,29.94
1875280,294,715,141,2,39.45,29.19
1875380,294,716,141,4,39.49,28.48
1875480,294,716,142,4,39.51,27.84
1875580,294,716,142,5,39.52,27.27
1875680,294,716,142,5,39.54,26.81
1875780,294,716,142,5,39.56,26.45
1875880,293,716,142,5,39.58,26.08
1875980,293,716,142,6,39.59,25.94
1876080,293,717,142,7,39.60,25.90
1876180,293,717,142,6,39.65,25.68
1876280,293,717,142,7,39.69,25.49
1876380,293,717,142,7,39.73,25.39
1876480,293,717,143,6,39.76,25.58
1876580,293,716,143,7,39.79,25.80
1876680,293,717,143,7,39.80,25.81
1876780,293,717,143,6,39.83,25.84
1876880,293,717,143,7,39.88,25.69
1876980,293,717,143,6,39.90,25.81
1877080,293,717,143,7,39.94,25.97
1877180,293,717,143,7,39.93,25.85
1877280,292,716,143,6,39.95,25.60
1877380,293,716,142,7,39.95,25.32
1877480,293,716,142,7,39.92,25.12
