timestamp,smoke,voc,co,flame,temp,hum
1975480,417,897,224,9,39.19,27.41
1975580,418,897,224,9,39.20,27.79
1975680,419,897,224,9,39.23,27.76
1975780,420,898,221,8,39.24,27.44
1975880,420,898,218,8,39.24,27.00
1975980,421,898,213,7,39.23,26.65
1976080,421,899,208,6,39.23,26.64
1976180,422,898,206,7,39.22,26.62
1976280,421,899,206,6,39.23,26.71
1976380,422,898,213,5,39.24,27.10
1976480,421,899,220,4,39.27,28.05
1976580,422,899,229,4,39.27,28.12
1976680,423,899,237,3,39.28,27.83
1976780,423,900,246,3,39.29,27.40
1976880,423,900,256,2,39.27,27.00
1976980,424,900,262,2,39.25,26.79
1977080,425,900,260,3,39.23,26.55
1977180,424,900,255,2,39.21,26.32
1977280,425,900,251,2,39.20,26.30
1977380,425,900,250,3,39.19,26.58
1977480,425,899,253,3,39.19,26.74
1977580,425,899,254,3,39.18,27.10
1977680,426,899,254,3,39.21,27.81
1977780,426,899,253,3,39.24,28.33
1977880,426,898,252,3,39.27,28.39
1977980,427,899,250,3,39.29,28.13
1978080,427,899,246,4,39.31,28.13
1978180,427,899,242,4,39.33,28.24
1978280,428,899,239,4,39.34,28.10
1978380,427,899,235,4,39.36,27.77
1978480,427,899,231,4,39.37,27.46
1978580,427,899,228,4,39.39,27.10
1978680,427,899,225,5,39.39,26.93
1978780,426,899,221,5,39.39,27.04
1978880,426,899,223,5,39.39,27.01
1978980,425,900,227,5,39.40,26.82
1979080,425,900,235,5,39.40,26.61
1979180,425,900,241,5,39.40,26.46
1979280,425,900,245,5,39.40,26.43
1979380,426,900,249,6,39.40,26.47
1979480,427,900,252,5,39.40,26.48
1979580,427,902,255,5,39.42,26.61
1979680,428,902,257,5,39.42,26.63
1979780,429,902,256,5,39.42,26.63
1979880,429,903,255,5,39.43,26.54
1979980,430,903,251,4,39.44,26.36
1980080,431,903,249,4,39.42,26.20
1980180,430,903,246,4,39.42,26.07
1980280,431,904,244,4,39.42,26.09
1980380,431,904,243,2,39.43,26.17
1980480,431,904,243,7,39.44,26.14
1980580,431,904,245,3,39.45,26.30
1980680,432,904,246,3,39.45,26.41
1980780,432,904,249,3,39.47,26.54
1980880,432,905,251,2,39.49,27.49
1980980,434,905,254,2,39.51,28.18
1981080,434,905,255,2,39.53,28.35
1981180,435,905,254,2,39.56,28.18
1981280,435,905,250,2,39.54,28.08
1981380,435,906,246,2,39.58,28.66
1981480,436,906,241,3,39.61,28.84
1981580,436,906,240,3,39.64,28.64
1981680,436,906,238,2,39.66,28.27
1981780,436,907,238,3,39.68,28.23
1981880,436,907,237,4,39.70,28.23
1981980,436,907,238,4,39.72,28.34
1982080,437,907,241,6,39.73,28.26
1982180,436,907,245,5,39.74,28.24
1982280,436,908,248,5,39.78,28.51
1982380,437,908,262,10,39.78,28.75
1982480,437,908,279,7,39.81,29.10
1982580,436,909,292,6,39.83,29.51
1982680,436,909,299,6,39.87,29.83
1982780,436,909,295,7,39.92,30.04
1982880,435,908,289,7,39.96,30.19
1982980,435,909,285,8,40.02,30.62
1983080,435,909,285,7,40.08,30.89
1983180,435,909,284,8,40.14,30.99
1983280,436,910,282,8,40.21,31.14
1983380,437,910,279,8,40.25,31.09
1983480,438,910,276,9,40.30,30.89
1983580,439,910,272,8,40.35,30.61
1983680,440,910,270,9,40.38,30.27
1983780,439,911,271,9,40.43,30.00
1983880,440,911,267,8,40.45,30.08
1983980,441,911,260,9,40.48,30.26
1984080,442,911,254,9,40.52,30.45
1984180,444,911,249,9,40.56,30.92
1984280,445,912,247,9,40.61,31.59
1984380,447,912,249,8,40.64,32.09
1984480,447,912,257,8,40.69,32.40
1984580,450,913,270,8,40.73,32.70
1984680,451,913,290,7,40.78,33.34
1984780,453,914,308,4,40.84,34.44
1984880,454,915,319,7,40.90,34.62
1984980,454,915,325,7,40.97,34.44
1985080,455,915,330,6,41.02,34.50
1985180,455,916,330,6,41.09,34.90
1985280,456,916,328,6,41.15,35.49
