104980,85,441,1,15,22.53,46.84
105145,85,441,2,13,22.54,46.79
105310,85,441,1,14,22.55,46.74
105475,85,440,1,17,22.54,46.68
105640,85,440,1,19,22.56,46.60
105805,85,439,1,22,22.55,46.48
105970,85,439,1,22,22.56,46.32
106135,85,438,1,22,22.56,46.12
106300,85,438,1,30,22.56,45.86
106465,85,438,84,35,22.56,45.60
106630,86,438,1,34,22.57,45.31
106795,85,438,1,32,22.55,45.03
106960,85,437,1,32,22.56,44.78
107125,85,437,1,31,22.55,44.48
107290,85,436,2,31,22.55,44.26
107455,85,436,2,33,22.56,44.00
107620,85,436,1,27,22.53,43.72
107785,85,436,1,25,22.55,43.38
107950,85,435,1,31,22.56,43.03
108115,84,435,2,30,22.54,42.69
[AI Probe] Fire: 0.01 | No-Fire: 0.00 | Flame: 32.00
108312,85,434,2,31,22.52,42.32
108477,85,435,1,28,22.53,41.95
108642,84,434,2,26,22.55,41.63
108807,84,434,2,26,22.55,41.30
108972,84,433,1,25,22.54,41.04
109137,84,432,1,18,22.56,40.74
109302,83,431,1,15,22.55,40.48
109467,83,431,2,11,22.56,40.12
109632,83,430,1,14,22.55,39.84
109797,83,430,2,18,22.54,39.51
109962,84,429,1,13,22.54,39.22
110127,82,428,2,15,22.53,38.96
110292,83,427,1,15,22.54,38.70
110457,83,427,2,15,22.53,38.52
110622,83,427,2,15,22.54,38.34
110787,83,427,1,16,22.53,38.13
110952,82,427,2,16,22.54,37.96
111117,82,427,2,17,22.53,37.77
111282,82,427,1,17,22.53,37.62
111447,82,426,2,13,22.53,37.49
[AI Probe] Fire: 0.00 | No-Fire: 0.00 | Flame: 13.00
111644,82,426,2,14,22.51,37.40
111809,82,425,1,14,22.52,37.34
111974,82,425,2,12,22.53,37.28
112139,82,425,1,11,22.53,37.23
112304,82,425,2,19,22.55,37.20
112469,83,425,1,15,22.54,37.17
112634,82,425,2,13,22.54,37.18
112799,81,424,1,13,22.55,37.18
112964,81,425,1,13,22.55,37.27
113129,81,424,1,12,22.55,37.37
113294,81,424,1,12,22.56,37.40
113459,81,423,1,12,22.55,37.45
113624,81,423,1,13,22.55,37.43
113789,81,422,2,10,22.56,37.34
113954,80,422,2,12,22.56,37.24
114119,80,422,1,12,22.56,37.06
114284,80,422,1,12,22.55,36.94
114449,80,421,1,13,22.55,36.82
114614,79,420,2,12,22.56,36.71
114779,80,420,2,13,22.57,36.60
[AI Probe] Fire: 0.00 | No-Fire: 0.00 | Flame: 12.00
114976,80,420,1,12,22.53,36.57
115141,79,420,1,13,22.55,36.43
115306,79,419,0,12,22.56,36.35
115471,80,419,1,13,22.55,36.23
115636,79,419,2,12,22.54,36.11
115801,79,418,1,13,22.56,36.07
115966,80,418,1,13,22.56,36.01
116131,79,417,2,10,22.57,35.94
116296,79,417,2,12,22.57,35.87
116461,79,417,1,14,22.56,35.86
116626,79,416,2,14,22.56,35.78
116791,79,416,2,14,22.55,35.73
116956,79,416,2,12,22.56,35.67
117121,79,415,1,12,22.57,35.65
117286,79,415,2,12,22.56,35.55
117451,80,415,2,50,22.56,35.52
117616,83,414,1,164,22.56,35.45
117781,82,414,1,139,22.58,35.39
117946,82,414,2,121,22.57,35.28
118111,81,413,2,101,22.58,35.19
[AI Probe] Fire: 0.01 | No-Fire: 0.00 | Flame: 96.00
118308,80,413,1,86,22.53,35.08
118473,80,413,2,75,22.56,34.94
118638,80,412,1,77,22.56,34.77
118803,80,412,1,75,22.56,34.64
118968,79,411,2,59,22.55,34.52
119133,80,411,2,55,22.57,34.42
119298,79,410,2,48,22.55,34.28
119463,79,410,2,41,22.56,34.20
119628,80,410,2,63,22.57,34.12
119793,79,410,1,51,22.55,34.06
119958,78,410,2,51,22.56,34.01
120123,86,410,2,330,22.56,33.94
120288,89,410,2,421,22.56,33.91
120453,85,409,2,266,22.56,33.90
120618,84,409,1,243,22.56,33.90
120783,85,409,1,248,22.56,33.87
120948,81,409,2,164,22.56,33.85
121113,80,409,1,143,22.55,33.83
121278,80,408,2,117,22.56,33.82
121443,80,408,2,117,22.56,33.79
[AI Probe] Fire: 0.84 | No-Fire: 0.00 | Flame: 150.00
[Suppressing] AI thinks Fire, but physical sensors see no Smoke/Flame (likely Sunlight).
121647,81,408,1,159,22.53,33.86
121812,88,409,231,432,22.55,33.80
121977,90,409,1,463,22.55,33.76
122142,89,409,2,454,22.55,33.77
122307,101,409,69,966,22.56,33.76
122472,101,409,1,971,22.56,33.73
122637,100,408,1,967,22.56,33.72
122802,101,408,2,968,22.56,33.72
122967,99,409,2,926,22.56,33.70
123132,101,408,2,956,22.58,33.67
123297,100,408,1,942,22.54,33.67
123462,100,408,2,953,22.55,33.66
123627,100,407,42,961,22.57,33.67
123792,101,408,38,963,22.58,33.66
123957,101,408,1,962,22.58,33.70
124122,101,409,2,960,22.58,33.69
124287,100,408,2,962,22.57,33.77
124452,100,409,2,959,22.58,33.79
124617,100,408,2,941,22.55,33.98
124782,100,409,2,949,22.58,34.17
[AI Probe] Fire: 0.00 | No-Fire: 0.00 | Flame: 961.00
>>> CRITICAL OVERRIDE: INTENSE FLAME DETECTED! <<< [SYSTEM] Fire Confirmed. Confidence Level: 1
124987,100,408,2,957,22.54,34.48
125152,99,408,2,919,22.57,34.71
125317,98,408,61,899,22.57,34.93
125482,98,408,13,889,22.58,35.10
125647,99,408,3,913,22.58,35.36
125812,99,408,2,926,22.57,35.49
125977,100,408,3,935,22.59,35.65
126142,99,408,2,918,22.59,35.74
126307,99,409,3,897,22.59,35.84
126472,99,408,2,909,22.58,35.94
126637,97,409,2,841,22.60,36.04
126802,97,409,2,837,22.59,36.09
126967,97,409,3,830,22.60,36.17
127132,99,409,3,925,22.60,36.23
127297,95,409,3,730,22.60,36.31
127462,93,409,2,618,22.59,36.32
127627,95,409,2,708,22.60,36.33
127792,95,409,3,704,22.60,36.40
127957,95,408,13,712,22.61,36.40
128122,100,409,2,961,22.61,36.42
[AI Probe] Fire: 0.04 | No-Fire: 0.00 | Flame: 970.00
>>> CRITICAL OVERRIDE: INTENSE FLAME DETECTED! <<< [SYSTEM] Fire Confirmed. Confidence Level: 2
128327,100,408,2,971,22.57,36.49
128492,101,408,2,974,22.60,36.46
128657,100,408,1,976,22.60,36.46
128822,100,408,2,976,22.61,36.49
128987,101,408,2,975,22.61,36.52
129152,100,408,1,974,22.61,36.51
129317,100,408,2,975,22.62,36.53
129482,100,408,2,974,22.63,36.54
129647,100,408,1,973,22.62,36.50
129812,101,408,2,974,22.63,36.52
129977,100,408,2,972,22.63,36.53
130142,100,408,1,971,22.62,36.51
130307,100,408,1,973,22.62,36.47
130472,100,408,2,973,22.64,36.47
130637,100,408,2,972,22.62,36.46
130802,100,408,2,971,22.63,36.50
130967,100,407,2,972,22.62,36.43
131132,100,408,2,972,22.63,36.41
131297,100,408,2,972,22.64,36.39
131462,100,408,2,972,22.63,36.39
[AI Probe] Fire: 0.00 | No-Fire: 1.00 | Flame: 970.00
>>> CRITICAL OVERRIDE: INTENSE FLAME DETECTED! <<< [SYSTEM] Fire Confirmed. Confidence Level: 3
>>> ALARM TRIGGERED! <<<
131669,100,408,2,972,22.60,36.39
131834,100,408,2,974,22.61,36.36
131999,101,408,2,972,22.64,36.33
132164,101,408,2,972,22.62,36.32
132329,101,407,2,975,22.63,36.31
132494,101,407,2,976,22.65,36.29
132659,101,407,2,977,22.63,36.28
132824,100,407,201,979,22.64,36.28
132989,100,407,2,979,22.63,36.25
133154,100,407,2,981,22.65,36.20
133319,100,407,2,980,22.63,36.17
133484,101,407,2,980,22.63,36.12
133649,101,407,2,980,22.65,36.13
133814,100,407,1,979,22.65,36.12
133979,100,407,8,976,22.64,36.11
134144,101,406,3,975,22.64,36.09
134309,100,406,2,972,22.65,36.10
134474,100,406,2,960,22.65,36.09
134639,101,406,2,970,22.65,36.06
134804,99,406,6,962,22.65,36.03
[AI Probe] Fire: 0.00 | No-Fire: 0.00 | Flame: 963.00
>>> CRITICAL OVERRIDE: INTENSE FLAME DETECTED! <<< [SYSTEM] Fire Confirmed. Confidence Level: 4
>>> ALARM TRIGGERED! <<<
135011,100,406,2,961,22.62,36.08
135176,100,406,2,963,22.65,36.03
135341,100,406,3,957,22.65,35.94
135506,100,406,2,957,22.64,35.91
135671,100,406,2,956,22.65,35.86
135836,99,405,2,949,22.65,35.84
136001,100,405,2,955,22.66,35.81
136166,100,405,2,958,22.67,35.76
136331,100,405,2,969,22.67,35.74
136496,100,406,2,969,22.67,35.70
136661,100,405,46,969,22.66,35.69
136826,100,405,2,970,22.66,35.60
136991,100,405,2,970,22.67,35.56
137156,100,405,2,973,22.66,35.57
137321,100,404,2,975,22.65,35.53
137486,99,404,235,978,22.66,35.51
137651,101,404,2,977,22.67,35.47
137816,100,404,1,979,22.67,35.43
137981,100,404,2,978,22.66,35.42
138146,100,404,1,973,22.67,35.33
[AI Probe] Fire: 0.70 | No-Fire: 0.00 | Flame: 967.00
>>> CRITICAL OVERRIDE: INTENSE FLAME DETECTED! <<< [SYSTEM] Fire Confirmed. Confidence Level: 5
>>> ALARM TRIGGERED! <<<
138353,99,403,13,969,22.62,35.33
138518,100,403,216,969,22.65,35.19
138683,100,404,1,975,22.65,35.17
138848,100,403,2,979,22.66,35.20
139013,100,403,2,981,22.66,35.15
139178,100,403,2,983,22.65,35.13
139343,100,403,2,985,22.66,35.14
139508,100,403,2,986,22.67,35.16
139673,100,403,2,984,22.67,35.13
139838,100,403,1,984,22.69,35.09
140003,101,402,2,982,22.68,35.07
140168,100,402,2,979,22.67,35.04
140333,100,402,1,980,22.67,35.06
140498,100,402,1,978,22.66,35.03
140663,100,402,2,978,22.67,34.99
140828,101,401,1,978,22.65,34.95
140993,101,401,2,977,22.67,34.91
141158,100,401,2,974,22.67,34.89
