timestamp,smoke,voc,co,flame,temp,hum,label,scenario,filename,humid
3588531,95,509,243,0,22.91,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3588631,95,509,243,2,22.92,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3588731,96,509,244,2,22.92,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3588831,97,509,244,0,22.92,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3588931,97,509,245,1,22.92,55.02,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589031,97,509,244,2,22.93,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589131,98,509,245,2,22.93,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589231,97,509,245,0,22.92,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589331,97,508,244,2,22.92,55.07,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589431,97,509,243,2,22.91,55.01,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589531,98,509,244,0,22.91,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589631,97,509,244,2,22.91,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589731,97,509,244,2,22.92,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589831,98,509,244,2,22.92,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3589931,97,509,245,2,22.92,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590031,96,509,246,2,22.91,55.0,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590131,95,508,243,2,22.91,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590231,98,510,245,4,22.92,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590331,98,509,245,0,22.93,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590431,98,509,245,1,22.91,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590531,95,508,244,0,22.93,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590631,96,509,245,0,22.93,55.0,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590731,97,508,245,0,22.92,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590831,98,508,245,1,22.92,55.04,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3590931,98,509,246,2,22.93,55.01,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591031,95,509,245,2,22.93,55.01,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591131,98,509,245,0,22.94,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591231,97,509,246,1,22.92,55.07,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591331,97,509,246,0,22.94,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591431,96,508,244,1,22.93,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591531,97,509,245,2,22.94,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591631,97,508,245,0,22.95,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591731,97,508,244,0,22.94,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591831,98,509,245,2,22.94,55.09,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3591931,95,509,245,0,22.94,55.08,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592031,98,509,245,1,22.95,55.08,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592131,98,509,246,0,22.95,55.1,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592231,98,509,244,1,22.95,55.03,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592331,98,509,245,1,22.95,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592431,97,509,244,1,22.94,55.1,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592531,98,509,245,0,22.95,55.05,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592631,98,509,245,1,22.97,55.09,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592731,97,509,245,0,22.94,55.06,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592831,96,509,246,2,22.96,55.07,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3592931,98,509,246,0,22.96,55.08,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3593031,96,509,244,2,22.95,55.07,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3593131,97,508,245,1,22.96,55.08,no_fire,closed_room,no_fire__closed_room_20260125_202150_30.csv,
3295631,96,507,235,0,22.47,56.19,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3295731,96,507,234,1,22.47,56.19,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3295831,98,507,234,1,22.46,56.17,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3295931,96,507,236,0,22.47,56.18,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3296031,98,507,236,2,22.47,56.18,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3296131,98,507,235,2,22.47,56.17,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3296231,98,508,235,2,22.47,56.21,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3296331,97,507,234,0,22.47,56.2,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
