timestamp,smoke,voc,co,flame,temp,hum
430480,665,965,2,0,28.78,42.14
430580,675,964,2,0,28.78,42.11
430680,681,965,1,0,28.77,42.08
430780,689,961,2,0,28.79,42.05
430880,693,960,1,1,28.79,41.98
430980,696,961,1,0,28.80,41.95
431080,696,959,1,0,28.81,41.87
431180,692,959,0,0,28.81,41.79
431280,686,958,1,0,28.82,41.77
431380,679,956,1,0,28.83,41.66
431480,671,955,0,2,28.82,41.60
431580,665,954,1,1,28.83,41.52
431680,658,952,2,0,28.83,41.40
431780,651,951,1,2,28.82,41.37
431880,646,953,0,1,28.82,41.31
431980,641,951,2,0,28.82,41.31
432080,636,950,1,0,28.82,41.25
432180,631,948,0,2,28.82,41.24
432280,626,947,0,0,28.84,41.21
432380,622,948,0,0,28.85,41.24
432480,618,947,2,1,28.85,41.16
432580,615,945,0,0,28.85,41.17
432680,612,946,1,2,28.86,41.11
432780,610,943,0,0,28.87,41.15
432880,607,942,0,0,28.87,41.15
432980,612,945,2,0,28.88,41.16
433080,626,945,1,0,28.89,41.08
433180,633,943,2,0,28.90,41.05
433280,632,944,2,1,28.89,40.99
433380,631,943,2,1,28.92,41.03
433480,629,944,2,0,28.92,41.14
433580,627,939,1,0,28.93,41.14
433680,625,942,1,1,28.93,41.18
433780,621,938,2,0,28.95,41.15
433880,618,938,0,0,28.94,41.11
433980,616,940,2,0,28.94,41.03
434080,622,939,0,1,28.95,41.01
434180,633,936,0,0,28.97,41.00
434280,641,936,8,1,28.97,41.01
434380,644,939,9,1,28.96,41.04
434480,650,935,10,0,28.98,41.09
434580,655,935,9,1,29.00,41.14
434680,657,935,8,7,29.00,41.13
434780,657,936,8,3,29.00,41.12
434880,653,934,10,2,29.02,41.09
434980,650,934,10,0,29.02,41.06
435080,650,937,8,1,29.03,41.10
435180,651,935,8,2,29.04,41.13
435280,652,936,9,0,29.05,41.10
435380,653,934,8,2,29.05,41.14
435480,652,936,8,0,29.06,41.13
435580,651,934,8,0,29.08,41.14
435680,652,934,8,1,29.07,41.11
435780,652,935,10,1,29.08,41.10
435880,653,934,8,2,29.10,41.13
435980,653,932,8,2,29.11,41.11
436080,652,932,9,1,29.12,41.06
436180,651,932,9,0,29.12,41.00
436280,649,932,9,1,29.13,40.98
436380,647,931,9,1,29.14,40.88
436480,648,933,9,0,29.15,40.87
436580,648,931,9,0,29.16,40.78
436680,652,929,8,1,29.15,40.72
436780,660,930,10,1,29.16,40.67
436880,664,930,7,0,29.17,40.62
436980,666,930,8,1,29.15,40.61
437080,671,928,9,0,29.17,40.54
437180,674,931,8,1,29.18,40.48
437280,679,932,8,0,29.17,40.41
437380,681,933,10,2,29.17,40.43
437480,679,932,9,1,29.19,40.48
437580,675,932,7,1,29.19,40.49
437680,669,932,9,2,29.20,40.58
437780,669,933,10,0,29.21,40.63
437880,668,932,9,1,29.21,40.64
437980,671,931,8,1,29.21,40.66
438080,669,930,8,0,29.21,40.59
438180,669,931,9,0,29.22,40.53
438280,669,932,7,0,29.22,40.43
438380,674,930,8,0,29.21,40.40
438480,681,929,7,1,29.22,40.46
438580,686,930,8,1,29.23,40.43
438680,691,928,9,0,29.22,40.49
438780,693,929,8,0,29.23,40.51
438880,691,930,9,0,29.24,40.51
438980,691,931,9,1,29.25,40.52
439080,695,929,7,0,29.26,40.54
439180,703,932,9,0,29.25,40.54
439280,707,932,9,1,29.27,40.50
439380,711,931,8,0,29.27,40.47
439480,717,932,9,0,29.27,40.45
439580,720,930,8,0,29.27,40.41
439680,722,933,9,0,29.28,40.43
439780,721,932,8,0,29.29,40.40
439880,722,934,8,2,29.29,40.43
439980,722,933,8,0,29.29,40.43
440080,720,934,9,0,29.28,40.52
440180,719,935,9,0,29.29,40.52
440280,719,933,7,0,29.30,40.56
