timestamp,smoke,voc,co,flame,temp,hum
418480,683,955,4,1,28.49,41.14
418580,681,955,2,1,28.49,41.13
418680,675,953,2,0,28.48,41.14
418780,670,955,1,2,28.48,41.13
418880,663,953,2,1,28.48,41.02
418980,657,953,2,3,28.47,40.99
419080,656,953,3,3,28.46,40.98
419180,661,954,3,1,28.48,41.03
419280,671,952,2,0,28.48,41.12
419380,677,953,2,1,28.48,41.12
419480,677,950,3,1,28.47,41.14
419580,673,952,3,3,28.49,41.15
419680,667,948,1,0,28.48,41.18
419780,663,949,3,0,28.48,41.26
419880,668,948,3,2,28.47,41.39
419980,682,949,3,0,28.48,41.53
420080,699,946,4,0,28.49,41.61
420180,716,945,2,0,28.48,41.69
420280,725,948,3,0,28.48,41.77
420380,729,948,2,1,28.49,41.83
420480,728,949,3,0,28.49,41.95
420580,729,948,3,0,28.49,42.05
420680,727,946,3,0,28.50,42.14
420780,724,948,0,1,28.50,42.18
420880,719,947,3,0,28.48,42.29
420980,714,947,3,1,28.50,42.34
421080,708,946,0,0,28.50,42.36
421180,701,944,2,1,28.50,42.40
421280,696,943,3,0,28.51,42.45
421380,695,945,1,0,28.51,42.47
421480,696,943,1,1,28.52,42.48
421580,693,942,1,0,28.54,42.52
421680,690,942,1,0,28.54,42.51
421780,686,941,1,0,28.54,42.53
421880,681,942,10,0,28.56,42.58
421980,677,943,3,1,28.56,42.60
422080,671,946,2,0,28.58,42.56
422180,666,946,3,0,28.57,42.55
422280,658,947,1,0,28.59,42.47
422380,652,946,1,0,28.59,42.40
422480,647,945,10,0,28.59,42.32
422580,642,943,8,0,28.60,42.27
422680,637,944,8,0,28.59,42.24
422780,633,945,10,0,28.59,42.24
422880,636,942,10,0,28.61,42.24
422980,642,941,2,0,28.61,42.26
423080,646,940,0,0,28.61,42.24
423180,645,940,3,1,28.61,42.21
423280,642,942,3,1,28.62,42.17
423380,641,942,1,0,28.62,42.13
423480,640,938,1,1,28.63,42.06
423580,638,940,1,0,28.62,41.98
423680,634,937,3,0,28.62,41.89
423780,629,940,1,1,28.64,41.85
423880,630,938,0,0,28.63,41.72
423980,637,938,2,0,28.63,41.66
424080,643,940,2,1,28.63,41.55
424180,647,939,3,0,28.62,41.45
424280,649,937,1,0,28.62,41.33
424380,649,937,2,3,28.63,41.29
424480,657,940,2,1,28.62,41.22
424580,665,943,2,0,28.62,41.30
424680,674,942,1,1,28.62,41.26
424780,684,943,3,0,28.63,41.31
424880,690,944,2,1,28.62,41.31
424980,694,944,1,0,28.62,41.35
425080,695,943,1,1,28.63,41.38
425180,697,943,1,2,28.62,41.41
425280,695,944,1,2,28.63,41.39
425380,693,942,2,0,28.61,41.35
425480,689,941,3,2,28.62,41.31
425580,685,940,1,1,28.61,41.17
425680,681,940,2,0,28.60,41.10
425780,678,944,1,0,28.61,40.95
425880,676,941,2,0,28.60,40.85
425980,674,940,2,0,28.60,40.72
426080,674,940,0,2,28.59,40.70
426180,672,940,1,0,28.59,40.71
426280,669,943,2,0,28.59,40.74
426380,664,942,0,0,28.58,40.88
426480,663,942,1,1,28.58,40.91
426580,660,945,3,0,28.56,40.96
426680,657,942,1,0,28.58,40.98
426780,655,942,2,0,28.56,41.00
426880,656,943,1,0,28.58,41.14
426980,656,944,1,0,28.58,41.22
427080,655,949,0,0,28.58,41.38
427180,653,949,1,2,28.58,41.55
427280,649,951,3,1,28.58,41.72
427380,646,950,10,0,28.59,41.82
427480,641,951,2,1,28.60,41.96
427580,640,950,1,2,28.59,42.05
427680,648,949,2,0,28.60,42.17
427780,650,949,1,0,28.60,42.29
427880,650,950,1,2,28.62,42.40
427980,647,954,0,2,28.62,42.49
428080,644,952,0,0,28.63,42.59
428180,640,951,2,0,28.64,42.66
428280,635,954,0,1,28.63,42.73
